"Tabela 4097 - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência (%)"
"Trimestre";"";"Posição na ocupação e categoria do emprego no trabalho principal"
"Trimestre";"";"Total";"Empregado no setor privado, exclusive trabalhador doméstico";"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada";"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada";"Trabalhador doméstico";"Trabalhador doméstico - com carteira de trabalho assinada";"Trabalhador doméstico - sem carteira de trabalho assinada";"Empregado no setor público";"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada";"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada";"Empregado no setor público - militar e funcionário público estatutário";"Empregador";"Conta própria";"Trabalhador familiar auxiliar"
"1º trimestre 2012";"Brasil";"100,0";"51,6";"39,0";"12,6";"6,8";"2,2";"4,6";"12,2";"1,7";"2,3";"8,3";"3,9";"22,9";"2,7"
"2º trimestre 2012";"Brasil";"100,0";"51,6";"39,1";"12,5";"6,7";"2,1";"4,6";"12,3";"1,6";"2,4";"8,3";"3,9";"22,2";"3,2"
"3º trimestre 2012";"Brasil";"100,0";"51,9";"39,3";"12,6";"6,6";"2,1";"4,6";"12,4";"1,5";"2,5";"8,4";"3,9";"22,0";"3,1"
"4º trimestre 2012";"Brasil";"100,0";"51,9";"39,6";"12,3";"6,6";"2,1";"4,6";"12,0";"1,5";"2,3";"8,2";"4,0";"22,3";"3,1"
"1º trimestre 2013";"Brasil";"100,0";"52,0";"39,7";"12,3";"6,6";"2,1";"4,5";"11,9";"1,5";"2,1";"8,2";"4,0";"22,4";"3,0"
"2º trimestre 2013";"Brasil";"100,0";"51,8";"39,7";"12,1";"6,4";"2,0";"4,5";"12,2";"1,5";"2,4";"8,2";"4,1";"22,5";"3,0"
"3º trimestre 2013";"Brasil";"100,0";"52,1";"40,0";"12,1";"6,4";"1,9";"4,5";"12,1";"1,4";"2,4";"8,3";"4,0";"22,5";"2,9"
"4º trimestre 2013";"Brasil";"100,0";"52,0";"40,2";"11,8";"6,4";"2,0";"4,4";"11,9";"1,4";"2,4";"8,1";"4,1";"22,7";"3,0"
"1º trimestre 2014";"Brasil";"100,0";"52,4";"40,8";"11,6";"6,3";"2,0";"4,3";"12,0";"1,4";"2,3";"8,3";"4,0";"22,5";"2,8"
"2º trimestre 2014";"Brasil";"100,0";"52,3";"41,0";"11,3";"6,4";"2,0";"4,4";"12,1";"1,4";"2,4";"8,3";"4,0";"22,4";"2,8"
"3º trimestre 2014";"Brasil";"100,0";"51,9";"40,7";"11,2";"6,3";"2,0";"4,3";"12,3";"1,4";"2,5";"8,3";"4,0";"22,8";"2,7"
"4º trimestre 2014";"Brasil";"100,0";"51,8";"40,3";"11,4";"6,3";"2,0";"4,3";"12,2";"1,5";"2,5";"8,3";"4,1";"22,9";"2,7"
"1º trimestre 2015";"Brasil";"100,0";"51,3";"40,3";"11,1";"6,4";"2,0";"4,3";"12,0";"1,4";"2,3";"8,3";"4,3";"23,1";"2,8"
"2º trimestre 2015";"Brasil";"100,0";"51,1";"40,0";"11,1";"6,3";"2,0";"4,3";"12,1";"1,4";"2,4";"8,3";"4,2";"23,4";"2,9"
"3º trimestre 2015";"Brasil";"100,0";"50,7";"39,5";"11,2";"6,4";"2,0";"4,4";"12,2";"1,4";"2,5";"8,3";"4,3";"23,6";"2,8"
"4º trimestre 2015";"Brasil";"100,0";"50,4";"39,4";"11,0";"6,6";"2,2";"4,4";"12,0";"1,3";"2,4";"8,2";"4,2";"24,3";"2,5"
"1º trimestre 2016";"Brasil";"100,0";"50,0";"39,2";"10,9";"6,7";"2,3";"4,4";"11,8";"1,3";"2,2";"8,3";"4,0";"25,1";"2,3"
"2º trimestre 2016";"Brasil";"100,0";"50,1";"38,8";"11,3";"6,7";"2,2";"4,5";"12,1";"1,3";"2,4";"8,4";"4,0";"24,8";"2,3"
"3º trimestre 2016";"Brasil";"100,0";"50,4";"38,8";"11,6";"6,7";"2,2";"4,5";"12,3";"1,2";"2,4";"8,6";"4,5";"23,9";"2,2"
"4º trimestre 2016";"Brasil";"100,0";"50,3";"38,5";"11,8";"6,6";"2,1";"4,5";"12,2";"1,3";"2,2";"8,7";"4,5";"24,1";"2,3"
"1º trimestre 2017";"Brasil";"100,0";"50,0";"38,4";"11,6";"6,6";"2,1";"4,6";"11,9";"1,2";"2,0";"8,7";"4,6";"24,5";"2,4"
"2º trimestre 2017";"Brasil";"100,0";"49,7";"37,7";"11,9";"6,6";"2,0";"4,6";"12,2";"1,3";"2,6";"8,3";"4,6";"24,6";"2,3"
"3º trimestre 2017";"Brasil";"100,0";"49,4";"37,3";"12,1";"6,6";"2,0";"4,6";"12,3";"1,4";"2,7";"8,2";"4,6";"24,7";"2,4"
"4º trimestre 2017";"Brasil";"100,0";"49,3";"37,0";"12,2";"6,7";"2,0";"4,8";"12,2";"1,2";"2,7";"8,2";"4,7";"24,8";"2,3"
"1º trimestre 2018";"Brasil";"100,0";"49,2";"37,2";"12,0";"6,7";"2,0";"4,7";"12,1";"1,3";"2,4";"8,4";"4,7";"24,9";"2,4"
"2º trimestre 2018";"Brasil";"100,0";"49,1";"36,8";"12,3";"6,6";"2,0";"4,7";"12,4";"1,4";"2,7";"8,3";"4,7";"24,9";"2,3"
"3º trimestre 2018";"Brasil";"100,0";"49,1";"36,5";"12,6";"6,6";"1,9";"4,7";"12,4";"1,4";"2,7";"8,2";"4,7";"24,9";"2,3"
"4º trimestre 2018";"Brasil";"100,0";"49,0";"36,4";"12,6";"6,5";"1,9";"4,7";"12,2";"1,3";"2,6";"8,3";"4,8";"25,2";"2,3"
"1º trimestre 2019";"Brasil";"100,0";"49,1";"36,7";"12,3";"6,4";"1,9";"4,6";"12,0";"1,3";"2,3";"8,4";"4,7";"25,4";"2,3"
"2º trimestre 2019";"Brasil";"100,0";"49,0";"36,4";"12,6";"6,5";"1,8";"4,7";"12,2";"1,4";"2,6";"8,2";"4,6";"25,4";"2,3"
"3º trimestre 2019";"Brasil";"100,0";"49,0";"36,1";"12,9";"6,5";"1,8";"4,7";"12,1";"1,3";"2,7";"8,1";"4,6";"25,6";"2,2"
"4º trimestre 2019";"Brasil";"100,0";"49,3";"36,5";"12,8";"6,5";"1,8";"4,7";"12,0";"1,2";"2,6";"8,1";"4,6";"25,5";"2,1"
"1º trimestre 2020";"Brasil";"100,0";"49,1";"36,8";"12,3";"6,3";"1,7";"4,5";"12,2";"1,3";"2,5";"8,5";"4,7";"25,7";"2,1"
"2º trimestre 2020";"Brasil";"100,0";"48,0";"37,3";"10,7";"5,4";"1,6";"3,8";"14,2";"1,4";"2,9";"9,9";"4,6";"25,5";"2,2"
"3º trimestre 2020";"Brasil";"100,0";"48,2";"36,8";"11,4";"5,3";"1,5";"3,8";"13,7";"1,4";"2,7";"9,6";"4,6";"25,8";"2,4"
"4º trimestre 2020";"Brasil";"100,0";"48,1";"36,1";"12,0";"5,4";"1,4";"4,0";"13,4";"1,3";"2,6";"9,4";"4,4";"26,4";"2,3"
"1º trimestre 2021";"Brasil";"100,0";"47,8";"36,1";"11,8";"5,5";"1,5";"4,0";"13,1";"1,3";"2,2";"9,6";"4,3";"27,1";"2,3"
"2º trimestre 2021";"Brasil";"100,0";"47,7";"35,8";"11,8";"5,5";"1,4";"4,1";"12,8";"1,4";"2,4";"9,1";"4,2";"27,6";"2,2"
"3º trimestre 2021";"Brasil";"100,0";"48,5";"35,9";"12,6";"5,8";"1,4";"4,4";"12,0";"1,3";"2,4";"8,3";"4,1";"27,4";"2,2"
"4º trimestre 2021";"Brasil";"100,0";"48,9";"35,9";"13,0";"6,0";"1,5";"4,5";"11,9";"1,3";"2,6";"8,0";"4,1";"27,1";"2,0"
"1º trimestre 2022";"Brasil";"100,0";"49,3";"36,5";"12,8";"5,9";"1,5";"4,5";"11,8";"1,3";"2,5";"8,1";"4,3";"26,5";"2,1"
"2º trimestre 2022";"Brasil";"100,0";"49,6";"36,3";"13,3";"6,0";"1,5";"4,5";"12,1";"1,3";"2,8";"8,0";"4,3";"26,2";"1,8"
"3º trimestre 2022";"Brasil";"100,0";"49,8";"36,4";"13,3";"6,0";"1,5";"4,5";"12,3";"1,3";"3,1";"7,8";"4,4";"25,9";"1,7"
"4º trimestre 2022";"Brasil";"100,0";"50,3";"37,0";"13,3";"5,9";"1,5";"4,4";"12,2";"1,4";"3,0";"7,8";"4,3";"25,6";"1,6"
"1º trimestre 2023";"Brasil";"100,0";"50,5";"37,4";"13,1";"5,9";"1,5";"4,4";"12,1";"1,4";"2,8";"7,8";"4,2";"25,7";"1,5"
"2º trimestre 2023";"Brasil";"100,0";"50,4";"37,1";"13,2";"6,0";"1,5";"4,5";"12,4";"1,4";"3,2";"7,8";"4,2";"25,5";"1,6"
"3º trimestre 2023";"Brasil";"100,0";"50,7";"37,4";"13,3";"5,9";"1,4";"4,4";"12,2";"1,4";"3,1";"7,7";"4,2";"25,5";"1,5"
"4º trimestre 2023";"Brasil";"100,0";"51,0";"37,6";"13,4";"6,0";"1,4";"4,6";"12,1";"1,4";"3,0";"7,6";"4,2";"25,3";"1,4"
"1º trimestre 2024";"Brasil";"100,0";"51,2";"37,9";"13,4";"5,9";"1,5";"4,5";"12,0";"1,4";"2,9";"7,7";"4,1";"25,3";"1,4"
"2º trimestre 2024";"Brasil";"100,0";"51,2";"37,7";"13,6";"5,8";"1,4";"4,4";"12,4";"1,5";"3,2";"7,7";"4,2";"25,0";"1,3"
